DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
https://doi.org/10.1108/LHT-04-2018-0050,"Pauline Joseph, Aaron Justin Kent, Peter Damian Green, Matthew Robinson, Amanda Bellenger",Henry,,,,,No,No,No,,,Science Direct,,,Analysis of EZproxy server logs to visualise research activity in Curtin’s online library,https://www.sciencedirect.com/science/article/pii/S0737883119000022,Library Hi Tech,,2019
https://doi.org/10.1016/j.jvlc.2006.01.001,"Hyunmo Kang, Ben Shneiderman",Henry,,,,,No,No,No,,,Science Direct,,,Exploring personal media: A spatial interface supporting user-defined semantic regions,https://www.sciencedirect.com/science/article/pii/S1045926X06000048,Journal of Visual Languages & Computing,,2006
https://doi.org/10.1016/j.ijmedinf.2015.03.006,"Jason J. Saleem, William R. Plew, Ross C. Speir, Jennifer Herout, Nancy R. Wilck, Dale Marie Ryan, Theresa A. Cullen, Jean M. Scott, Murielle S. Beene, Toni Phillips",Henry,,,,,No,No,No,,,Science Direct,,,Understanding barriers and facilitators to the use of Clinical Information Systems for intensive care units and Anesthesia Record Keeping: A rapid ethnography,https://www.sciencedirect.com/science/article/pii/S1386505615000660,International Journal of Medical Informatics,,2015
https://doi.org/10.1016/j.inffus.2021.10.013,"Imad Afyouni, Zaher Al Aghbari, Reshma Abdul Razack",Henry,,,,,No,No,No,,,Science Direct,,,"Multi-feature, multi-modal, and multi-source social event detection: A comprehensive survey",https://www.sciencedirect.com/science/article/pii/S1566253521002220,Information Fusion,,2022
https://doi.org/10.1016/j.jvlc.2006.09.001,"Christopher D. Hundhausen, Jonathan Lee Brown",Henry,,,,,No,No,No,,,Science Direct,,,An experimental study of the impact of visual semantic feedback on novice programming,https://www.sciencedirect.com/science/article/pii/S1045926X06000528,Journal of Visual Languages & Computing,,2007
https://doi.org/10.1016/j.compeleceng.2024.109854,"Yanqiong Zhang, Yu Han, Zhaosong Zhu, Xianwei Jiang, Yudong Zhang",Henry,,,,,No,No,No,,,Science Direct,,,Artificial intelligence in sign language recognition: A comprehensive bibliometric and visual analysis,https://www.sciencedirect.com/science/article/pii/S004579062400781X,Computers and Electrical Engineering,,2024
https://doi.org/10.1016/j.scico.2011.06.006,"Matthias Hauswirth, Andrea Adamoli",Henry,,,,,No,No,No,,,Science Direct,,,Teaching Java programming with the Informa clicker system,https://www.sciencedirect.com/science/article/pii/S0167642311001468,Science of Computer Programming,,2013
https://doi.org/10.1016/S0169-023X(02)00137-4,"Luca Chittaro, Carlo Combi",Henry,,,,,No,No,No,,,Science Direct,,,Visualizing queries on databases of temporal histories: new metaphors and their evaluation,https://www.sciencedirect.com/science/article/pii/S0169023X02001374,Data & Knowledge Engineering,,2003
https://doi.org/10.1016/j.jvlc.2018.11.004,"Karsten Seipp, Francisco Gutiérrez, Xavier Ochoa, Katrien Verbert",Henry,,,,,No,No,No,,,Science Direct,,,Towards a visual guide for communicating uncertainty in Visual Analytics,https://www.sciencedirect.com/science/article/pii/S1045926X16301136,Journal of Computer Languages,,2019
https://doi.org/10.1016/S0950-7051(00)00101-5,"M Derthick, S.F Roth",Henry,,,,,No,No,No,,,Science Direct,,,Enhancing data exploration with a branching history of user operations,https://www.sciencedirect.com/science/article/pii/S0950705100001015,Knowledge-Based Systems,,2001
https://doi.org/10.1016/j.infsof.2022.107087,"Aarne Leinonen, Virpi Roto",Henry,,,,,No,No,No,,,Science Direct,,,Service Design Handover to user experience design – a systematic literature review,https://www.sciencedirect.com/science/article/pii/S0950584922001963,Information and Software Technology,,2023
https://doi.org/10.1016/j.is.2016.10.005,"W.Z. Low, W.M.P. {van der Aalst}, A.H.M. {ter Hofstede}, M.T. Wynn, J. {De Weerdt}",Henry,,,,,No,No,No,,,Science Direct,,,Change visualisation: Analysing the resource and timing differences between two event logs,https://www.sciencedirect.com/science/article/pii/S0306437915301575,Information Systems,,2017
https://doi.org/10.1016/j.jbi.2014.01.007,"David Gotz, Fei Wang, Adam Perer",Henry,,,,,No,No,No,,,Science Direct,,,A methodology for interactive mining and visual analysis of clinical event patterns using electronic health record data,https://www.sciencedirect.com/science/article/pii/S1532046414000094,Journal of Biomedical Informatics,,2014
https://doi.org/10.1016/j.visinf.2020.07.002,"Sujia Zhu, Guodao Sun, Qi Jiang, Meng Zha, Ronghua Liang",Henry,,,,,No,No,No,,,Science Direct,,,A survey on automatic infographics and visualization recommendations,https://www.sciencedirect.com/science/article/pii/S2468502X20300292,Visual Informatics,,2020
https://doi.org/10.2196/medinform.2519,"Xiao-Ou Ping, Yufang Chung, Yi-Ju Tseng, Ja-Der Liang, Pei-Ming Yang, Guan-Tarn Huang, Feipei Lai",Henry,,,,,No,No,No,,,Science Direct,,,A Web-Based Data-Querying Tool Based on Ontology-Driven Methodology and Flowchart-Based Model,https://www.sciencedirect.com/science/article/pii/S2291969413000021,JMIR Medical Informatics,,2013
https://doi.org/10.1016/j.elerap.2013.04.001,"Renata {Gonçalves Curty}, Ping Zhang",Henry,,,,,No,No,No,,,Science Direct,,,Website features that gave rise to social commerce: a historical analysis,https://www.sciencedirect.com/science/article/pii/S1567422313000306,Electronic Commerce Research and Applications,,2013
https://doi.org/10.1016/j.cag.2023.05.016,"Sanne {van der Linden}, Evie {de Fouw}, Stef {van den Elzen}, Anna Vilanova",Henry,,,,,No,No,No,,,Science Direct,,,A survey of visualization techniques for comparing event sequences,https://www.sciencedirect.com/science/article/pii/S0097849323000717,Computers & Graphics,,2023
https://doi.org/10.1016/B978-0-12-822962-0.00026-2,NA,Henry,,,,,No,No,No,,,Science Direct,,,Index,https://www.sciencedirect.com/science/article/pii/B9780128229620000262,NA,,2023
https://doi.org/10.1016/B978-0-443-13878-2.00002-3,Chad A. Steed,Henry,,,,,No,No,No,,,Science Direct,,,Chapter 7 - Interactive data visualization,https://www.sciencedirect.com/science/article/pii/B9780443138782000023,NA,,2025
https://doi.org/10.1016/j.jvlc.2014.12.003,"Nor’ain Mohd Yusoff, Siti Salwah Salim",Henry,,,,,No,No,No,,,Science Direct,,,A systematic review of shared visualisation to achieve common ground,https://www.sciencedirect.com/science/article/pii/S1045926X1400158X,Journal of Visual Languages & Computing,,2015
https://doi.org/10.1016/j.engappai.2022.105667,"Preeti Meena, Himanshu Kumar, Sandeep {Kumar Yadav}",Henry,,,,,No,No,No,,,Science Direct,,,A review on video summarization techniques,https://www.sciencedirect.com/science/article/pii/S0952197622006571,Engineering Applications of Artificial Intelligence,,2023
https://doi.org/10.1016/j.jpdc.2012.02.020,Christian Schulz,Henry,,,,,No,No,No,,,Science Direct,,,Efficient local search on the GPU—Investigations on the vehicle routing problem,https://www.sciencedirect.com/science/article/pii/S0743731512000640,Journal of Parallel and Distributed Computing,,2013
https://doi.org/10.1108/TG-04-2019-0028,"Jonathan Robin Crusoe, Karin Ahlin",Henry,,,,,No,No,No,,,Science Direct,,,Users’ activities for using open government data – a process framework,https://www.sciencedirect.com/science/article/pii/S1750616619000052,"Transforming Government: People, Process and Policy",,2019
https://doi.org/10.1016/j.websem.2022.100713,"Martin Nečaský, Štěpán Stenchlák",Henry,,,,,No,No,No,,,Science Direct,,,Interactive and iterative visual exploration of knowledge graphs based on shareable and reusable visual configurations,https://www.sciencedirect.com/science/article/pii/S1570826822000105,Journal of Web Semantics,,2022
https://doi.org/10.1016/j.jss.2017.11.025,"Erwan Bousse, Dorian Leroy, Benoit Combemale, Manuel Wimmer, Benoit Baudry",Henry,,,,,No,No,No,,,Science Direct,,,Omniscient debugging for executable DSLs,https://www.sciencedirect.com/science/article/pii/S0164121217302765,Journal of Systems and Software,,2018
https://doi.org/10.1016/j.diin.2014.09.002,"Darren Quick, Kim-Kwang Raymond Choo",Henry,,,,,No,No,No,,,Science Direct,,,Impacts of increasing volume of digital forensic data: A survey and future research challenges,https://www.sciencedirect.com/science/article/pii/S1742287614001066,Digital Investigation,,2014
https://doi.org/10.1016/0950-5849(95)90811-8,"Michael M Pickard, Bradley D Carter",Henry,,,,,No,No,No,,,Science Direct,,,A field study of the relationship of information flow and maintainability of COBOL programs,https://www.sciencedirect.com/science/article/pii/0950584995908118,Information and Software Technology,,1995
https://doi.org/10.1016/j.joi.2017.12.004,"Chaomei Chen, Min Song, Go Eun Heo",Henry,,,,,No,No,No,,,Science Direct,,,A scalable and adaptive method for finding semantically equivalent cue words of uncertainty,https://www.sciencedirect.com/science/article/pii/S1751157717301712,Journal of Informetrics,,2018
https://doi.org/10.1016/B978-0-12-803844-4.00004-2,Lindy Ryan,Henry,,,,,No,No,No,,,Science Direct,,,Chapter 4 - Navigating ethics in the big data democracy,https://www.sciencedirect.com/science/article/pii/B9780128038444000042,NA,,2016
https://doi.org/10.1016/j.ijmedinf.2009.06.006,"Thusitha Mabotuwana, Jim Warren, John Kennelly",Henry,,,,,No,No,No,,,Science Direct,,,A computational framework to identify patients with poor adherence to blood pressure lowering medication,https://www.sciencedirect.com/science/article/pii/S1386505609001014,International Journal of Medical Informatics,,2009
https://doi.org/10.1016/j.intcom.2012.01.003,"Krist Wongsuphasawat, Catherine Plaisant, Meirav Taieb-Maimon, Ben Shneiderman",Henry,,,,,No,No,No,,,Science Direct,,,Querying event sequences by exact match or similarity search: Design and empirical evaluation,https://www.sciencedirect.com/science/article/pii/S0953543812000124,Interacting with Computers,,2012
https://doi.org/10.1016/j.jvlc.2004.11.002,Christopher D. Hundhausen,Henry,,,,,No,No,No,,,Science Direct,,,Using end-user visualization environments to mediate conversations: a ‘Communicative Dimensions’ framework,https://www.sciencedirect.com/science/article/pii/S1045926X04000552,Journal of Visual Languages & Computing,,2005
https://doi.org/10.1016/j.knosys.2012.07.017,"M. Oussalah, F. Bhat, K. Challis, T. Schnier",Henry,,,,,No,No,No,,,Science Direct,,,"A software architecture for Twitter collection, search and geolocation services",https://www.sciencedirect.com/science/article/pii/S0950705112002055,Knowledge-Based Systems,,2013
https://doi.org/10.1016/j.inffus.2025.103599,"Ranjan Sapkota, Konstantinos I. Roumeliotis, Manoj Karkee",Henry,,,,,No,No,No,,,Science Direct,,,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",https://www.sciencedirect.com/science/article/pii/S1566253525006712,Information Fusion,,2026
10.1007/s12650-024-01005-w,Shixiong CaoQing ChenNan Cao,Henry,,,,,No,No,No,,,SpringerLink,,,Visual narrative for data journalism based on user experience,https://link.springer.com/article/10.1007/s12650-024-01005-w,Journal of Visualization,,2024
10.1007/s12650-025-01058-5,Haonan YaoLixiang ZhaoBoyuan ChenKaiwen LiHai-Ning LiangLingyun Yu,"Alex, Henry",,3D layout. The new dimension is used to encode space. So no real layout computation besides re-scaling the time axis to avoid overlaps.,Movement data,User study,No,Yes,Yes,Other,Overlap reduction,SpringerLink,3D,"Discrete, Non-persistent characters",3DStoryline: immersive visual storytelling,https://link.springer.com/article/10.1007/s12650-025-01058-5,Journal of Visualization,"3D, Multivariate data encoding",2025
10.1007/s12650-022-00896-x,Zihao ZhuYue ShenSujia ZhuGefei ZhangRonghua LiangGuodao Sun,"Alex, Henry",,,,,Yes,Yes,No,,,SpringerLink,Exclude - Other,,Towards better pattern enhancement in temporal evolving set visualization,https://link.springer.com/article/10.1007/s12650-022-00896-x,Journal of Visualization,,2022
10.1007/s12650-022-00893-0,Xuyi LuYuan XuGuan LiYi ChenGuihua Shan,"Alex, Henry",,,,,Yes,Yes,No,,,SpringerLink,"Exclude - Other, Exclude - unclear",,MVST-SciVis: narrative visualization and analysis of compound events in scientific data,https://link.springer.com/article/10.1007/s12650-022-00893-0,Journal of Visualization,,2022
10.1007/978-3-031-28694-0_9,Emilio Di GiacomoBeniamino Di MartinoWalter DidimoAntonio EspositoGiuseppe LiottaFabrizio Montecchiani,"Alex, Henry",,"This is no implementation but a design suggestion of a system that transforms text of e.g. a movie into a storyline. Classifications of labeling etc. does not make sense, because it has not been implemented.",Movies/Books,,No,Yes,Yes,None,None,SpringerLink,,,Design of&#xa0;a&#xa0;Process and&#xa0;a&#xa0;Container-Based Cloud Architecture for&#xa0;the&#xa0;Automatic Generation of&#xa0;Storyline Visualizations,https://link.springer.com/chapter/10.1007/978-3-031-28694-0_9,Advanced Information Networking and Applications,,2023
10.1007/s10916-025-02219-7,Denisse KimBernardo Canovas-SeguraManuel CamposSergio Aleman BelandoJose M. Juarez,Henry,,,,,No,No,No,,,SpringerLink,,,Infection Spread and Outbreaks Support with Spatial-Temporal Visualization Tool for Hospitals,https://link.springer.com/article/10.1007/s10916-025-02219-7,Journal of Medical Systems,,2025
10.1007/978-3-319-27648-9_114-1,Günter Wallner,Henry,,,,,No,No,No,,,SpringerLink,,,Information Visualization: Models and Evaluation,https://link.springer.com/rwe/10.1007/978-3-319-27648-9_114-1,Handbook of Human Computer Interaction,,2025
10.1186/s12911-019-0885-x,Andres LedesmaNiranjan BidargaddiJörg StrobelGeoffrey SchraderHannu NieminenIlkka KorhonenMiikka Ermes,Henry,,,,,No,No,No,,,SpringerLink,,,Health timeline: an insight-based study of a timeline visualization of clinical data,https://link.springer.com/article/10.1186/s12911-019-0885-x,BMC Medical Informatics and Decision Making,,2019
10.1007/978-3-031-93221-2_3,Niamh HenryTomas Vancisin,Henry,,,,,No,No,No,,,SpringerLink,,,Visualizing Peace and&#xa0;Transition Process Trajectories: Enhancing Decision-Making Through PeaceTech and&#xa0;Iterative Design,https://link.springer.com/chapter/10.1007/978-3-031-93221-2_3,"Design, User Experience, and Usability",,2025
10.1007/978-3-031-56107-8_20,Joscha GrügerRalph Bergmann,Henry,,,,,No,No,No,,,SpringerLink,,,Enhancing Clinical Insights: Knowledge-Intensive and&#xa0;Context-Sensitive Process Instance Visualization in&#xa0;Health Care,https://link.springer.com/chapter/10.1007/978-3-031-56107-8_20,Process Mining Workshops,,2024
10.17269/s41997-023-00811-3,Suzanne BiroKaren ScottEmma NagyNancy SlippKinsey BeckChristina CatleyEzra Hart,Henry,,,,,No,No,No,,,SpringerLink,,,Tracking emergency response actions during COVID-19 leads to development of an innovative public health evaluation tool,https://link.springer.com/article/10.17269/s41997-023-00811-3,Canadian Journal of Public Health,,2023
10.1007/s44267-023-00011-0,Pengkun RenYi WangFan Zhao,Henry,,,,,No,No,No,,,SpringerLink,,,Re-understanding of data storytelling tools from a narrative perspective,https://link.springer.com/article/10.1007/s44267-023-00011-0,Visual Intelligence,,2023
10.1007/s10796-023-10418-1,Faten El OutaPatrick MarcelVeronika PeraltaPanos Vassiliadis,Henry,,,,,No,No,No,,,SpringerLink,,,Highlighting the Importance of Intentional Aspects in Data Narrative Crafting Processes,https://link.springer.com/article/10.1007/s10796-023-10418-1,Information Systems Frontiers,,2023
10.1007/978-3-031-75340-4_3,Shixia LiuWeikai YangJunpeng WangJun Yuan,Henry,,,,,No,No,No,,,SpringerLink,,,Techniques for Data Preparation,https://link.springer.com/chapter/10.1007/978-3-031-75340-4_3,Visualization for Artificial Intelligence,,2025
10.1007/978-981-99-5547-3_9,Lip Shen LowWan Tze VongBrian Chung Shiong LohPatrick Hang Hui Then,Henry,,,,,No,No,No,,,SpringerLink,,,A Task-Driven Visualization Framework for Diabetes Management,https://link.springer.com/chapter/10.1007/978-981-99-5547-3_9,Proceedings of ASEAN-Australian Engineering Congress (AAEC2022),,2023
10.1007/978-3-030-86499-6_9,Liu YuchenWang ZijieHe QianlingRaja Majid Mehmood,Henry,,,,,No,No,No,,,SpringerLink,,,A Novel Method of Trajectory Data Visualization to Analyze the Current Traffic Situation in Smart Cities,https://link.springer.com/chapter/10.1007/978-3-030-86499-6_9,Resilient and Responsible Smart Cities,,2022
10.1007/s12650-025-01066-5,Chengbo ZhengTian GaoShunan GuoYang ShiXiaojuan MaNan Cao,Henry,,,,,No,No,No,,,SpringerLink,,,A design space of animating data-driven transitions in data videos,https://link.springer.com/article/10.1007/s12650-025-01066-5,Journal of Visualization,,2025
10.1007/978-3-031-71291-3_37,Wode NiSam EstepHwei-Shin HarrimanJiří MinarčíkJoshua Sunshine,Henry,,,,,No,No,No,,,SpringerLink,,,Codifying Visual Representations,https://link.springer.com/chapter/10.1007/978-3-031-71291-3_37,Diagrammatic Representation and Inference,,2024
10.1007/978-3-031-55312-7_4,Bruno AzevedoFrancisco CunhaPedro Branco,Henry,,,,,No,No,No,,,SpringerLink,,,Fostering Collaboration in Science: Designing an Exploratory Time Travel Visualization,https://link.springer.com/chapter/10.1007/978-3-031-55312-7_4,"ArtsIT, Interactivity and Game Creation",,2024
10.1007/978-3-031-17960-0_16,Carlos LopezosaMario Pérez-MontoroJavier Guallar,Henry,,,,,No,No,No,,,SpringerLink,,,Data Visualization in the News Media: Trends and Challenges,https://link.springer.com/chapter/10.1007/978-3-031-17960-0_16,"Technology, Business, Innovation, and Entrepreneurship in Industry 4.0",,2023
10.1007/978-1-4471-7527-8_7,Wolfgang AignerSilvia MikschHeidrun SchumannChristian Tominski,Henry,,,,,No,No,No,,,SpringerLink,,,Guiding the Selection of Visualization Techniques,https://link.springer.com/chapter/10.1007/978-1-4471-7527-8_7,Visualization of Time-Oriented Data,,2023
10.1007/s12650-023-00928-0,Xiaoying ShiJiaming ZhangZiyi LiangDewen Seng,Henry,,,,,No,No,No,,,SpringerLink,,,MADDPGViz: a visual analytics approach to understand multi-agent deep reinforcement learning,https://link.springer.com/article/10.1007/s12650-023-00928-0,Journal of Visualization,,2023
10.1007/978-3-031-09342-5_41,Enea ParimbelliCristiana LarizzaVladimir UrosevicAndrea PogliaghiManuel OttavianoCindy ChengVincent BenoitDaniele PalaVittorio CasellaRiccardo BellazziPaolo Giudici,Henry,,,,,No,No,No,,,SpringerLink,,,The PERISCOPE Data Atlas: A Demonstration of Release v1.2,https://link.springer.com/chapter/10.1007/978-3-031-09342-5_41,Artificial Intelligence in Medicine,,2022
10.1007/s10584-021-03171-4,Angela MorelliTom Gabriel JohansenRosalind PidcockJordan HaroldAnna PiraniMelissa GomisIrene LorenzoniEamon HaugheyKenny Coventry,Henry,,,,,No,No,No,,,SpringerLink,,,Co-designing engaging and accessible data visualisations: a case study of the IPCC reports,https://link.springer.com/article/10.1007/s10584-021-03171-4,Climatic Change,,2021
10.1007/978-3-031-16538-2_24,Iwona Grabska-GradzińskaEwa GrabskaWojciech PalaczLeszek NowakJan K. Argasiński,Henry,,,,,No,No,No,,,SpringerLink,,,Data Structure Visualization as an Aid in Collaborative Game Design,https://link.springer.com/chapter/10.1007/978-3-031-16538-2_24,"Cooperative Design, Visualization, and Engineering",,2022
10.1007/978-3-031-20364-0_63,Ana DuarteMiguel CarvalhaisPedro Amado,Henry,,,,,No,No,No,,,SpringerLink,,,The Role of Data Visualization in Science Communication,https://link.springer.com/chapter/10.1007/978-3-031-20364-0_63,Advances in Design and Digital Communication III,,2023
10.1007/978-3-031-56599-1_62,Maen HammadSabah AlsofriyaAhmed Fawzi Otoom,Henry,,,,,No,No,No,,,SpringerLink,,,Towards Visualizing the Status of Bug Reports,https://link.springer.com/chapter/10.1007/978-3-031-56599-1_62,ITNG 2024: 21st International Conference on Information Technology-New Generations,,2024
10.1007/s12650-025-01057-6,Xiaohui WangLintao LuQingyue LiXiaoli Yue,Henry,,,,,No,No,No,,,SpringerLink,,,Patterns for generating narrative scripts through cultural heritage knowledge graphs for designers,https://link.springer.com/article/10.1007/s12650-025-01057-6,Journal of Visualization,,2025
10.1007/s12650-023-00941-3,Min TianGuozheng LiXiaoru Yuan,Henry,,,,,No,No,No,,,SpringerLink,,,LitVis: a visual analytics approach for managing and exploring literature,https://link.springer.com/article/10.1007/s12650-023-00941-3,Journal of Visualization,,2023
10.1007/s10639-021-10837-0,Linnea StenlidenJörgen Nissen,Henry,,,,,No,No,No,,,SpringerLink,,,Students multimodal knowledge sharing in school: Spatial repertoires and semiotic assemblages,https://link.springer.com/article/10.1007/s10639-021-10837-0,Education and Information Technologies,,2021
10.1007/978-3-030-66919-5_10,Leticia Laura-OchoaFranco Tejada-Toledo,Henry,,,,,No,No,No,,,SpringerLink,,,CovidEmoVis - An Interactive Visual Analytic Tool for Exploring Emotions from Twitter Data of Covid-19,https://link.springer.com/chapter/10.1007/978-3-030-66919-5_10,Human-Computer Interaction,,2020
10.1007/978-3-031-35374-1_7,Fabian BeckShahid Latif,Henry,,,,,No,No,No,,,SpringerLink,,,Visually Reporting Geographic Data Insights as Integrated Visual and Textual Representations,https://link.springer.com/chapter/10.1007/978-3-031-35374-1_7,Volunteered Geographic Information,,2024
10.1007/978-3-030-85613-7_35,Kerstin BlumensteinVictor OliveiraMagdalena BoucherStefanie GrößbacherMarkus SeidlWolfgang Aigner,Henry,,,,,No,No,No,,,SpringerLink,,,Situated Visualization of Historical Timeline Data on Mobile Devices: Design Study for a Museum Application,https://link.springer.com/chapter/10.1007/978-3-030-85613-7_35,Human-Computer Interaction – INTERACT 2021,,2021
10.1007/s11704-023-2691-y,Xumeng WangZiliang WuWenqi HuangYating WeiZhaosong HuangMingliang XuWei Chen,Henry,,,,,No,No,No,,,SpringerLink,,,VIS+AI: integrating visualization with artificial intelligence for efficient data analysis,https://link.springer.com/article/10.1007/s11704-023-2691-y,Frontiers of Computer Science,,2023
10.2991/hcis.k.211025.001,Mosiur RahmanMd Rafiqul IslamSharmin AkterShanjita AkterLinta IslamGuandong Xu,Henry,,,,,No,No,No,,,SpringerLink,,,<i>DiaVis</i>: Exploration and Analysis of Diabetes through Visual Interactive System,https://link.springer.com/article/10.2991/hcis.k.211025.001,Human-Centric Intelligent Systems,,2021
10.1007/978-3-030-87903-7_29,Jiao Zhong,Henry,,,,,No,No,No,,,SpringerLink,,,Development of APP Visual Design Under the Background of Big Data,https://link.springer.com/chapter/10.1007/978-3-030-87903-7_29,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",,2021
10.1007/s40264-020-00945-0,Jonathan SpikerKory KreimeyerOanh DangDebra BoxwellVicky ChanConnie ChengPaula GishAllison LardieriEileen WuSuranjan DeJarushka NaidooHarold LehmannGary L. RosnerRobert BallTaxiarchis Botsis,Henry,,,,,No,No,No,,,SpringerLink,,,Information Visualization Platform for Postmarket Surveillance Decision Support,https://link.springer.com/article/10.1007/s40264-020-00945-0,Drug Safety,,2020
10.1007/978-3-031-48044-7_12,Shahiq QureshiKerstin Haring,Henry,,,,,No,No,No,,,SpringerLink,,,Evaluating the&#xa0;Effectiveness of&#xa0;Graph and&#xa0;Timeline-Based Visualizations for&#xa0;Search Engine Results: A Comparative Study,https://link.springer.com/chapter/10.1007/978-3-031-48044-7_12,HCI International 2023 – Late Breaking Papers,,2023
10.1007/978-3-030-90436-4_30,Michael BurchGünter WallnerHuub van de WeteringShahrukh TufailLinda Zandt-SlootStasius GladkisMinji HongCarlo Lepelaars,Henry,,,,,No,No,No,,,SpringerLink,,,FamSearch: Visual Analysis of Genealogical Data,https://link.springer.com/chapter/10.1007/978-3-030-90436-4_30,Advances in Visual Computing,,2021
10.1007/s00371-022-02733-6,Robin G. C. MaackGerik ScheuermannHans HagenJose Tiberio Hernández PeñalozaChristina Gillmann,Henry,,,,,No,No,No,,,SpringerLink,,,"Uncertainty-aware visual analytics: scope, opportunities, and challenges",https://link.springer.com/article/10.1007/s00371-022-02733-6,The Visual Computer,,2022
10.1007/s41095-020-0178-4,Songye HanShaojie YeHongxin Zhang,Henry,,,,,No,No,No,,,SpringerLink,,,Visual exploration of Internet news via sentiment score and topic models,https://link.springer.com/article/10.1007/s41095-020-0178-4,Computational Visual Media,,2020
10.1186/s40249-021-00800-z,Ming-Fan PangZuo-Ru LiangZhi-Da ChengXin-Ping YangJie-Wen WuKe LyuJing-Jing XiZhong-Jie LiGuo-Qing ShiYan-Ping ZhangGeorge F. GaoXiao-Peng QiXiao-Ping Dong,Henry,,,,,No,No,No,,,SpringerLink,,,Spatiotemporal visualization for the global COVID-19 surveillance by&#xa0;balloon chart,https://link.springer.com/article/10.1186/s40249-021-00800-z,Infectious Diseases of Poverty,,2021
10.1007/978-3-030-88028-6_7,Ana FigueirasÁngel Vizoso,Henry,,,,,No,No,No,,,SpringerLink,,,Information Visualization: Features and Challenges in the Production of Data Stories,https://link.springer.com/chapter/10.1007/978-3-030-88028-6_7,Total Journalism,,2022
10.1007/978-3-031-15740-0_25,Faten El OutaPatrick MarcelVeronika PeraltaRaphaël da SilvaMarie ChagnouxPanos Vassiliadis,Henry,,,,,No,No,No,,,SpringerLink,,,Data Narrative Crafting via&#xa0;a&#xa0;Comprehensive and&#xa0;Well-Founded Process,https://link.springer.com/chapter/10.1007/978-3-031-15740-0_25,Advances in Databases and Information Systems,,2022
10.1007/978-3-030-55307-4_61,Salomé EstevesMarco Neves,Henry,,,,,No,No,No,,,SpringerLink,,,Are Charts Going Digital? The Case of Data Visualization on Portuguese Media,https://link.springer.com/chapter/10.1007/978-3-030-55307-4_61,"Human Interaction, Emerging Technologies and Future Applications III",,2021
10.1007/978-3-030-62327-2_25,Jakub KlímekAltynbek OrumbayevMarzia CutajarEsteban JenkinsIvan LattákAlexandr MansurovJiří Helmich,Henry,,,,,No,No,No,,,SpringerLink,,,LinkedPipes Applications - Automated Discovery of Configurable Linked Data Applications,https://link.springer.com/chapter/10.1007/978-3-030-62327-2_25,The Semantic Web: ESWC 2020 Satellite Events,,2020
10.1007/978-3-030-68766-3_9,Alessio ArleoWalter DidimoGiuseppe LiottaSilvia MikschFabrizio Montecchiani,Henry,,,,,No,No,No,,,SpringerLink,,,VAIM: Visual Analytics for Influence Maximization,https://link.springer.com/chapter/10.1007/978-3-030-68766-3_9,Graph Drawing and Network Visualization,,2020
10.1007/978-3-030-92300-6_39,Jovana PlavšićIlija Mišković,Henry,,,,,No,No,No,,,SpringerLink,,,Contextualization of Design Qualities in Interactive Story-Based Visualization Applied to Engineering,https://link.springer.com/chapter/10.1007/978-3-030-92300-6_39,Interactive Storytelling,,2021
10.1007/978-3-030-62522-1_19,Faten El OutaMatteo FranciaPatrick MarcelVeronika PeraltaPanos Vassiliadis,Henry,,,,,No,No,No,,,SpringerLink,,,Towards a Conceptual Model for Data Narratives,https://link.springer.com/chapter/10.1007/978-3-030-62522-1_19,Conceptual Modeling,,2020
10.1007/s11042-019-07950-1,Vincenzo Del FattoAnton DignösGuerriero RaimatoLorenzo MaccioniYuri BorgianniJohann Gamper,Henry,,,,,No,No,No,,,SpringerLink,,,Visual time period analysis: a multimedia analytics application for summarizing and analyzing eye-tracking experiments,https://link.springer.com/article/10.1007/s11042-019-07950-1,Multimedia Tools and Applications,,2019
10.1007/s12650-019-00617-x,Hongjin WuDanqing ShiNan ChenYang ShiZhuochen JinNan Cao,Henry,,,,,No,No,No,,,SpringerLink,,,VisAct: a visualization design system based on semantic actions,https://link.springer.com/article/10.1007/s12650-019-00617-x,Journal of Visualization,,2019
10.1007/s00371-019-01789-1,Qiang LuJing HuangQingyu ZhangXiaohui YuanJie Li,"Alex, Henry","Equidistant interaction characters, Interaction grouping, Minimum character separation",Study on comparing different project visualizations. The storyflow algorithm is used.,Project - by person,User study,No,Yes,Yes,"Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline","Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count",SpringerLink,Comparison with other visualizations,"Discrete, Interaction duration, Persistent characters",Evaluation on visualization methods of dynamic collaborative relationships for project management,https://link.springer.com/article/10.1007/s00371-019-01789-1,The Visual Computer,Labels - events,2021
